Number,Date,Day,Hour,Transfer,Strain,Treatment,Replicate,RF,Rfctrl
52,2015-01-20,7,168,L,167-7,0,3,NA,NA
53,2015-01-20,7,168,L,168-16,0,3,NA,NA
54,2015-01-20,7,168,L,169-30,0,3,NA,NA
55,2015-01-20,7,168,L,164-11,0,3,NA,NA
56,2015-01-20,7,168,L,156-4,2,3,NA,NA
57,2015-01-20,7,168,L,167-7,2,3,NA,NA
59,2015-01-20,7,168,L,169-30,2,3,NA,NA
60,2015-01-20,7,168,L,164-11,2,3,NA,NA
61,2015-01-20,7,168,L,156-4,12,3,NA,NA
62,2015-01-20,7,168,L,167-7,12,3,NA,NA
63,2015-01-20,7,168,L,168-16,12,3,NA,NA
64,2015-01-20,7,168,L,169-30,12,3,NA,NA
40,2015-01-20,7,168,L,164-11,12,2,NA,NA
66,2015-01-20,7,168,L,156-4,24,3,NA,NA
67,2015-01-20,7,168,L,167-7,24,3,NA,NA
68,2015-01-20,7,168,L,168-16,24,3,NA,NA
69,2015-01-20,7,168,L,169-30,24,3,NA,NA
70,2015-01-20,7,168,L,164-11,24,3,NA,NA
1,2015-01-21,8,24,L,156-4,0,1,25015.35,14.95
52,2015-01-21,8,24,L,167-7,0,3,7249.19,14.95
53,2015-01-21,8,24,L,168-16,0,3,21438.63,14.95
54,2015-01-21,8,24,L,169-30,0,3,18508.64,14.95
55,2015-01-21,8,24,L,164-11,0,3,25507.39,14.95
56,2015-01-21,8,24,L,156-4,2,3,747.2,16.38
57,2015-01-21,8,24,L,167-7,2,3,33644.5,16.38
59,2015-01-21,8,24,L,169-30,2,3,9172.71,16.38
60,2015-01-21,8,24,L,164-11,2,3,9867.99,16.38
61,2015-01-21,8,24,L,156-4,12,3,2865.21,15.51
62,2015-01-21,8,24,L,167-7,12,3,53944.64,15.51
63,2015-01-21,8,24,L,168-16,12,3,3281.99,15.51
64,2015-01-21,8,24,L,169-30,12,3,12662.4,15.51
40,2015-01-21,8,24,L,164-11,12,2,14988.78,15.51
66,2015-01-21,8,24,L,156-4,24,3,10762.69,15.79
67,2015-01-21,8,24,L,167-7,24,3,45561.65,15.79
68,2015-01-21,8,24,L,168-16,24,3,728.98,15.79
69,2015-01-21,8,24,L,169-30,24,3,4706.05,15.79
70,2015-01-21,8,24,L,164-11,24,3,4316.72,15.79
1,2015-01-22,9,48,L,156-4,0,1,44750.64,14.86
52,2015-01-22,9,48,L,167-7,0,3,6788.28,14.86
53,2015-01-22,9,48,L,168-16,0,3,31548.72,14.86
54,2015-01-22,9,48,L,169-30,0,3,22726.59,14.86
55,2015-01-22,9,48,L,164-11,0,3,34013.89,14.86
56,2015-01-22,9,48,L,156-4,2,3,1564.58,16.84
57,2015-01-22,9,48,L,167-7,2,3,52481.09,16.84
59,2015-01-22,9,48,L,169-30,2,3,15746.31,16.84
60,2015-01-22,9,48,L,164-11,2,3,14238.04,16.84
61,2015-01-22,9,48,L,156-4,12,3,4525.78,15.6
62,2015-01-22,9,48,L,167-7,12,3,78050.4,15.6
63,2015-01-22,9,48,L,168-16,12,3,6591.97,15.6
64,2015-01-22,9,48,L,169-30,12,3,22342.04,15.6
40,2015-01-22,9,48,L,164-11,12,2,19458.61,15.6
66,2015-01-22,9,48,L,156-4,24,3,15278.22,18.23
67,2015-01-22,9,48,L,167-7,24,3,60750.64,18.23
68,2015-01-22,9,48,L,168-16,24,3,805.29,18.23
69,2015-01-22,9,48,L,169-30,24,3,5916.58,18.23
70,2015-01-22,9,48,L,164-11,24,3,4515.97,18.23
1,2015-01-23,10,72,L,156-4,0,1,40912.68,15.66
52,2015-01-23,10,72,L,167-7,0,3,8181.37,15.66
53,2015-01-23,10,72,L,168-16,0,3,44658.56,15.66
54,2015-01-23,10,72,L,169-30,0,3,34486.71,15.66
55,2015-01-23,10,72,L,164-11,0,3,48469.69,15.66
56,2015-01-23,10,72,L,156-4,2,3,4666.8,15.86
57,2015-01-23,10,72,L,167-7,2,3,69991.28,15.86
59,2015-01-23,10,72,L,169-30,2,3,28023.63,15.86
60,2015-01-23,10,72,L,164-11,2,3,24049.44,15.86
61,2015-01-23,10,72,L,156-4,12,3,9448.94,16.55
62,2015-01-23,10,72,L,167-7,12,3,135172.46,16.55
63,2015-01-23,10,72,L,168-16,12,3,10200.24,16.55
64,2015-01-23,10,72,L,169-30,12,3,28602.11,16.55
40,2015-01-23,10,72,L,164-11,12,2,24898.75,16.55
66,2015-01-23,10,72,L,156-4,24,3,23199.36,15.38
67,2015-01-23,10,72,L,167-7,24,3,84989.5,15.38
68,2015-01-23,10,72,L,168-16,24,3,967.01,15.38
69,2015-01-23,10,72,L,169-30,24,3,11010.9,15.38
70,2015-01-23,10,72,L,164-11,24,3,4813.72,15.38
1,2015-01-24,11,96,L,156-4,0,1,57822.27,15.69
52,2015-01-24,11,96,L,167-7,0,3,9004.47,15.69
53,2015-01-24,11,96,L,168-16,0,3,52946.55,15.69
54,2015-01-24,11,96,L,169-30,0,3,37158.08,15.69
55,2015-01-24,11,96,L,164-11,0,3,53433.64,15.69
56,2015-01-24,11,96,L,156-4,2,3,4859.41,16.95
57,2015-01-24,11,96,L,167-7,2,3,73572.25,16.95
59,2015-01-24,11,96,L,169-30,2,3,45301.12,16.95
60,2015-01-24,11,96,L,164-11,2,3,19166.36,16.95
61,2015-01-24,11,96,L,156-4,12,3,15021.08,15.22
62,2015-01-24,11,96,L,167-7,12,3,180157.31,15.22
63,2015-01-24,11,96,L,168-16,12,3,9857.57,15.22
64,2015-01-24,11,96,L,169-30,12,3,41240.52,15.22
40,2015-01-24,11,96,L,164-11,12,2,30109.42,15.22
66,2015-01-24,11,96,L,156-4,24,3,31931.74,15.46
67,2015-01-24,11,96,L,167-7,24,3,116009.97,15.46
68,2015-01-24,11,96,L,168-16,24,3,950.13,15.46
69,2015-01-24,11,96,L,169-30,24,3,11398.73,15.46
70,2015-01-24,11,96,L,164-11,24,3,4863.96,15.46
