Number,Experiment,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
8,temperature,2015-01-19,4,96,A,156-4,WC,15,WC15,2,42778.35,15.64
9,temperature,2015-01-19,4,96,A,156-4,ASW,21,ASW21,3,50131.09,15.64
10,temperature,2015-01-19,4,96,A,156-4,ASW,15,ASW15,3,39148.21,15.64
11,temperature,2015-01-19,4,96,A,156-4,WC,21,WC21,3,51930.26,15.64
12,temperature,2015-01-19,4,96,A,156-4,WC,15,WC15,3,40120.83,15.64
13,temperature,2015-01-19,4,96,A,168-16,ASW,21,ASW21,1,49180.63,15.64
14,temperature,2015-01-19,4,96,A,168-16,ASW,15,ASW15,1,28066.36,15.64
15,temperature,2015-01-19,4,96,A,168-16,WC,21,WC21,1,43571.87,15.64
16,temperature,2015-01-19,4,96,A,168-16,WC,15,WC15,1,31958.71,15.64
17,temperature,2015-01-19,4,96,A,168-16,ASW,21,ASW21,2,47912.46,15.64
18,temperature,2015-01-19,4,96,A,168-16,ASW,15,ASW15,2,28475.68,15.64
19,temperature,2015-01-19,4,96,A,168-16,WC,21,WC21,2,35833.86,15.64
20,temperature,2015-01-19,4,96,A,168-16,WC,15,WC15,2,27340.38,15.64
21,temperature,2015-01-19,4,96,A,168-16,ASW,21,ASW21,3,47757.49,15.64
22,temperature,2015-01-19,4,96,A,168-16,ASW,15,ASW15,3,29407.12,15.64
23,temperature,2015-01-19,4,96,A,168-16,WC,21,WC21,3,30072.89,15.64
24,temperature,2015-01-19,4,96,A,168-16,WC,15,WC15,3,33413.64,15.64
1,temperature,2015-01-20,5,120,A,156-4,ASW,21,ASW21,1,69815.74,15.53
2,temperature,2015-01-20,5,120,A,156-4,ASW,15,ASW15,1,38337.85,15.53
3,temperature,2015-01-20,5,120,A,156-4,WC,21,WC21,1,60452.51,11.59
4,temperature,2015-01-20,5,120,A,156-4,WC,15,WC15,1,51391.1,11.59
5,temperature,2015-01-20,5,120,A,156-4,ASW,21,ASW21,2,59173.98,15.53
6,temperature,2015-01-20,5,120,A,156-4,ASW,15,ASW15,2,52782.52,15.53
7,temperature,2015-01-20,5,120,A,156-4,WC,21,WC21,2,60372.95,11.59
8,temperature,2015-01-20,5,120,A,156-4,WC,15,WC15,2,49680.19,11.59
9,temperature,2015-01-20,5,120,A,156-4,ASW,21,ASW21,3,55932.05,15.53
10,temperature,2015-01-20,5,120,A,156-4,ASW,15,ASW15,3,49405.45,15.53
11,temperature,2015-01-20,5,120,A,156-4,WC,21,WC21,3,61138.54,11.59
12,temperature,2015-01-20,5,120,A,156-4,WC,15,WC15,3,52701.68,11.59
13,temperature,2015-01-20,5,120,A,168-16,ASW,21,ASW21,1,62288.89,15.53
14,temperature,2015-01-20,5,120,A,168-16,ASW,15,ASW15,1,32527.06,15.53
15,temperature,2015-01-20,5,120,A,168-16,WC,21,WC21,1,66265.17,11.59
16,temperature,2015-01-20,5,120,A,168-16,WC,15,WC15,1,40997.45,11.59
17,temperature,2015-01-20,5,120,A,168-16,ASW,21,ASW21,2,55309.88,15.53
18,temperature,2015-01-20,5,120,A,168-16,ASW,15,ASW15,2,34787.48,15.53
19,temperature,2015-01-20,5,120,A,168-16,WC,21,WC21,2,47099.92,11.59
20,temperature,2015-01-20,5,120,A,168-16,WC,15,WC15,2,37029.67,11.59
21,temperature,2015-01-20,5,120,A,168-16,ASW,21,ASW21,3,60259.2,15.53
22,temperature,2015-01-20,5,120,A,168-16,ASW,15,ASW15,3,36345.5,15.53
